root_seed,regime,group_B_lower,group_B_upper,horizon,threshold,B
1000007,NOMINAL,450,600,12,350,0.125
1000007,NOMINAL,450,600,12,400,0.21875
1000007,NOMINAL,450,600,16,300,0.140625
1000007,NOMINAL,450,600,16,350,0.21875
1000007,NOMINAL,450,600,16,400,0.2890625
1000007,NOMINAL,500,650,8,300,0.0
1000007,NOMINAL,500,650,8,350,0.0
1000007,NOMINAL,500,650,8,400,0.015625
1000007,NOMINAL,500,650,12,300,0.0
1000007,NOMINAL,500,650,12,350,0.041666666666666664
1000007,NOMINAL,500,650,12,400,0.125
1000007,NOMINAL,500,650,16,300,0.0703125
1000007,NOMINAL,500,650,16,350,0.140625
1000007,NOMINAL,500,650,16,400,0.21875
1000007,PHYSICAL_SHIFT,400,550,8,300,0.0625
1000007,PHYSICAL_SHIFT,400,550,8,350,0.125
1000007,PHYSICAL_SHIFT,400,550,8,400,0.234375
1000007,PHYSICAL_SHIFT,400,550,12,300,0.20833333333333334
1000007,PHYSICAL_SHIFT,400,550,12,350,0.25
1000007,PHYSICAL_SHIFT,400,550,12,400,0.3229166666666667
1000007,PHYSICAL_SHIFT,400,550,16,300,0.28125
1000007,PHYSICAL_SHIFT,400,550,16,350,0.3125
1000007,PHYSICAL_SHIFT,400,550,16,400,0.3671875
1000007,PHYSICAL_SHIFT,450,600,8,300,0.0
1000007,PHYSICAL_SHIFT,450,600,8,350,0.0625
1000007,PHYSICAL_SHIFT,450,600,8,400,0.125
1000007,PHYSICAL_SHIFT,450,600,12,300,0.13541666666666666
1000007,PHYSICAL_SHIFT,450,600,12,350,0.20833333333333334
1000007,PHYSICAL_SHIFT,450,600,12,400,0.25
1000007,PHYSICAL_SHIFT,450,600,16,300,0.2265625
1000007,PHYSICAL_SHIFT,450,600,16,350,0.28125
1000007,PHYSICAL_SHIFT,450,600,16,400,0.3125
1000007,PHYSICAL_SHIFT,500,650,8,300,0.0
1000007,PHYSICAL_SHIFT,500,650,8,350,0.0
1000007,PHYSICAL_SHIFT,500,650,8,400,0.0625
1000007,PHYSICAL_SHIFT,500,650,12,300,0.08333333333333333
1000007,PHYSICAL_SHIFT,500,650,12,350,0.13541666666666666
1000007,PHYSICAL_SHIFT,500,650,12,400,0.20833333333333334
1000007,PHYSICAL_SHIFT,500,650,16,300,0.1875
1000007,PHYSICAL_SHIFT,500,650,16,350,0.2265625
1000007,PHYSICAL_SHIFT,500,650,16,400,0.28125
1000008,NOMINAL,400,550,8,300,0.046875
1000008,NOMINAL,400,550,8,350,0.109375
1000008,NOMINAL,400,550,8,400,0.28125
1000008,NOMINAL,400,550,12,300,0.13541666666666666
1000008,NOMINAL,400,550,12,350,0.21875
1000008,NOMINAL,400,550,12,400,0.3541666666666667
1000008,NOMINAL,400,550,16,300,0.21875
1000008,NOMINAL,400,550,16,350,0.2890625
1000008,NOMINAL,400,550,16,400,0.390625
1000008,NOMINAL,450,600,8,300,0.0
1000008,NOMINAL,450,600,8,350,0.046875
1000008,NOMINAL,450,600,8,400,0.109375
1000008,NOMINAL,450,600,12,300,0.0625
1000008,NOMINAL,450,600,12,350,0.13541666666666666
1000008,NOMINAL,450,600,12,400,0.21875
1000008,NOMINAL,450,600,16,300,0.140625
1000008,NOMINAL,450,600,16,350,0.21875
1000008,NOMINAL,450,600,16,400,0.2890625
1000008,NOMINAL,500,650,8,300,0.0
1000008,NOMINAL,500,650,8,350,0.0
1000008,NOMINAL,500,650,8,400,0.046875
1000008,NOMINAL,500,650,12,300,0.010416666666666666
1000008,NOMINAL,500,650,12,350,0.0625
1000008,NOMINAL,500,650,12,400,0.13541666666666666
1000008,NOMINAL,500,650,16,300,0.078125
1000008,NOMINAL,500,650,16,350,0.140625
1000008,NOMINAL,500,650,16,400,0.21875
1000008,PHYSICAL_SHIFT,400,550,8,300,0.0625
1000008,PHYSICAL_SHIFT,400,550,8,350,0.140625
1000008,PHYSICAL_SHIFT,400,550,8,400,0.296875
1000008,PHYSICAL_SHIFT,400,550,12,300,0.19791666666666666
1000008,PHYSICAL_SHIFT,400,550,12,350,0.2604166666666667
1000008,PHYSICAL_SHIFT,400,550,12,400,0.3645833333333333
1000008,PHYSICAL_SHIFT,400,550,16,300,0.2734375
1000008,PHYSICAL_SHIFT,400,550,16,350,0.3203125
1000008,PHYSICAL_SHIFT,400,550,16,400,0.3984375
1000008,PHYSICAL_SHIFT,450,600,8,300,0.03125
1000008,PHYSICAL_SHIFT,450,600,8,350,0.0625
1000008,PHYSICAL_SHIFT,450,600,8,400,0.140625
1000008,PHYSICAL_SHIFT,450,600,12,300,0.15625
1000008,PHYSICAL_SHIFT,450,600,12,350,0.19791666666666666
1000008,PHYSICAL_SHIFT,450,600,12,400,0.2604166666666667
1000008,PHYSICAL_SHIFT,450,600,16,300,0.2421875
1000008,PHYSICAL_SHIFT,450,600,16,350,0.2734375
1000008,PHYSICAL_SHIFT,450,600,16,400,0.3203125
1000008,PHYSICAL_SHIFT,500,650,8,300,0.0
1000008,PHYSICAL_SHIFT,500,650,8,350,0.03125
1000008,PHYSICAL_SHIFT,500,650,8,400,0.0625
1000008,PHYSICAL_SHIFT,500,650,12,300,0.09375
1000008,PHYSICAL_SHIFT,500,650,12,350,0.15625
1000008,PHYSICAL_SHIFT,500,650,12,400,0.19791666666666666
1000008,PHYSICAL_SHIFT,500,650,16,300,0.1953125
1000008,PHYSICAL_SHIFT,500,650,16,350,0.2421875
